time,output,error
2023-01-12 13:09:27.431277,INFLACAO_2023-01-12-13-09-27-431277.csv,no errors
2023-01-12 13:10:52.208137,CAMBIO_2023-01-12-13-10-52-208137.csv,no errors
2023-01-12 13:12:14.168112,CAMBIO_2023-01-12-13-12-14-168112.csv,no errors
2023-01-12 13:13:14.625105,INFLACAO_2023-01-12-13-13-14-625105.csv,no errors
2023-01-12 13:14:35.024690,CAMBIO_2023-01-12-13-14-35-024690.csv,no errors
2023-01-12 13:22:50.390594,JUROS_2023-01-12-13-22-50-390594.csv,no errors
2023-01-12 13:58:19.406482,erro,"OSError(""Cannot save file into a non-existent directory: 'output'"")"
2023-01-12 13:59:54.662170,CAMBIO_2023-01-12-13-59-54-662170.csv,no errors
2023-01-12 14:02:04.747642,CAMBIO_2023-01-12-14-02-04-747642.csv,no errors
2023-01-12 14:48:24.146860,CAMBIO_2023-01-12-14-48-24-146860.csv,no errors
2023-01-12 14:49:38.256605,CAMBIO_2023-01-12-14-49-38-256605.csv,no errors
2023-01-12 14:54:56.915117,INFLACAO_2023-01-12-14-54-56-915117.csv,no errors
2023-01-12 14:59:52.096496,INFLACAO_2023-01-12-14-59-52-096496.csv,no errors
2023-01-12 15:06:46.962457,INFLACAO_2023-01-12-15-06-46-962457.csv,no errors
2023-01-12 15:09:32.827267,JUROS_2023-01-12-15-09-32-827267.csv,no errors
2023-01-13 11:28:32.663394,INFLACAO_2023-01-13-11-28-32-663394.csv,no errors
2023-01-13 11:40:53.097891,CAMBIO_2023-01-13-11-40-53-097891.csv,no errors
2023-01-13 11:47:22.488166,INFLACAO_2023-01-13-11-47-22-488166.csv,no errors
2023-01-13 11:54:13.562102,JUROS_2023-01-13-11-54-13-562102.csv,no errors
2023-01-16 08:58:32.627892,JUROS_2023-01-16-08-58-32-627892.csv,no errors
2023-01-16 09:01:06.963143,JUROS_2023-01-16-09-01-06-963143.csv,no errors
2023-01-16 09:03:22.951800,JUROS_2023-01-16-09-03-22-951800.csv,no errors
2023-01-16 09:33:04.675266,INFLACAO_2023-01-16-09-33-04-675266.csv,no errors
2023-01-16 09:39:55.786066,CAMBIO_2023-01-16-09-39-55-786066.csv,no errors
2023-01-16 09:49:59.962807,INFLACAO_2023-01-16-09-49-59-962807.csv,no errors
2023-01-16 09:52:55.447108,JUROS_2023-01-16-09-52-55-447108.csv,no errors
2023-01-16 10:04:08.717392,INFLACAO_2023-01-16-10-04-08-717392.csv,no errors
2023-01-16 10:16:49.049642,INFLACAO_2023-01-16-10-16-49-049642.csv,no errors
2023-01-16 10:18:59.764923,INFLACAO_2023-01-16-10-18-59-764923.csv,no errors
2023-01-16 10:32:42.151333,INFLACAO_2023-01-16-10-32-42-151333.csv,no errors
2023-01-16 10:46:33.861966,JUROS_2023-01-16-10-46-33-861966.csv,no errors
2023-01-16 10:48:11.254176,CAMBIO_2023-01-16-10-48-11-254176.csv,no errors
2023-01-16 11:19:56.501458,INFLACAO_2023-01-16-11-19-56-501458.csv,no errors
2023-01-16 11:33:07.127873,INFLACAO_2023-01-16-11-33-07-127873.csv,no errors
2023-01-16 11:44:32.023801,JUROS_2023-01-16-11-44-32-023801.csv,no errors
2023-01-16 11:45:10.317091,JUROS_2023-01-16-11-45-10-317091.csv,no errors
2023-01-16 13:37:10.378003,CAMBIO_2023-01-16-13-37-10-378003.csv,no errors
2023-01-16 13:37:51.378039,JUROS_2023-01-16-13-37-51-378039.csv,no errors
2023-01-16 13:38:04.471802,INFLACAO_2023-01-16-13-38-04-471802.csv,no errors
2023-01-16 16:15:56.931284,INFLACAO_2023-01-16-16-15-56-931284.csv,no errors
